"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2208,76.7,76.7,23.3,"Matran (FR)","Les habitants de Matran acceptent l'initiative pour le versement d'une 13e rente AVS avec 76,7 pour cent de oui. Matran a approuvé l'initiative, tout comme son canton."
2211,79.1,79.1,20.9,"Neyruz (FR)","C'est oui à 79,1 pour cent à l'initiative pour le versement d'une 13e rente AVS à Neyruz (FR). Neyruz (FR) a approuvé l'initiative, tout comme son canton."
2216,70,70,30,"Pierrafortscha (FR)","L'initiative pour le versement d'une 13e rente AVS est acceptée à Pierrafortscha. Les électeurs de cette petite commune sont 49 à dire oui, contre 21 à s'y opposer. Pierrafortscha a approuvé l'initiative, tout comme son canton."
2217,74.1,74.1,25.9,"Ponthaux (FR)","Les habitants de Ponthaux acceptent l'initiative pour le versement d'une 13e rente AVS avec 74,1 pour cent de oui. Ponthaux a approuvé l'initiative, tout comme son canton."
2220,78.5,78.5,21.5,"Le Mouret (FR)","Au Mouret, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 78,5 pour cent des suffrages. Le Mouret a approuvé l'initiative, tout comme son canton."
2226,68.1,68.1,31.9,"Treyvaux (FR)","Les habitants de Treyvaux approuvent l'initiative pour le versement d'une 13e rente AVS avec 68,1 pour cent des voix. Treyvaux a approuvé l'initiative, tout comme son canton."
2228,78,78,22,"Villars-sur-Glâne (FR)","A Villars-sur-Glâne, les habitants disent oui à 78 pour cent à l'initiative pour une 13 rente AVS. Villars-sur-Glâne a approuvé l'initiative, tout comme son canton."
2230,80.6,80.6,19.4,"Villarsel-sur-Marly (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Villarsel-sur-Marly. Les électeurs de cette petite commune sont 29 à approuver le texte et 7 à le refuser. Villarsel-sur-Marly a approuvé l'initiative, tout comme son canton."
2233,76.7,76.7,23.3,"Hauterive (FR)","Les habitants de Hauterive (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 76,7 pour cent des voix. Hauterive (FR) a approuvé l'initiative, tout comme son canton."
2234,76.3,76.3,23.7,"La Brillaz (FR)","Les habitants de La Brillaz approuvent l'initiative pour le versement d'une 13e rente AVS avec 76,3 pour cent des voix. La Brillaz a approuvé l'initiative, tout comme son canton."
2235,77.1,77.1,22.9,"La Sonnaz (FR)","Les habitants de La Sonnaz acceptent l'initiative pour le versement d'une 13e rente AVS avec 77,1 pour cent de oui. La Sonnaz a approuvé l'initiative, tout comme son canton."
2236,79.4,79.4,20.6,"Gibloux (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Gibloux avec 79,4 pour cent de oui. Gibloux a approuvé l'initiative, tout comme son canton."
2237,78.3,78.3,21.7,"Prez (FR)","Les électeurs de Prez valident l'initiative pour le versement d'une 13e rente AVS avec 78,3 pour cent des voix. Prez a approuvé l'initiative, tout comme son canton."
2238,77,77,23,"Bois-d'Amont (FR)","Les habitants de Bois-d'Amont approuvent l'initiative pour le versement d'une 13e rente AVS avec 77 pour cent des voix. Bois-d'Amont a approuvé l'initiative, tout comme son canton."
2250,62.6,62.6,37.4,"Courgevaux (FR)","C'est oui à 62,6 pour cent à l'initiative pour le versement d'une 13e rente AVS à Courgevaux. Courgevaux a approuvé l'initiative, tout comme son canton."
2254,73.1,73.1,26.9,"Courtepin (FR)","Les électeurs de Courtepin valident l'initiative pour le versement d'une 13e rente AVS avec 73,1 pour cent des voix. Courtepin a approuvé l'initiative, tout comme son canton."
2257,67.3,67.3,32.7,"Cressier (FR)","Les habitants de Cressier (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 67,3 pour cent des voix. Cressier (FR) a approuvé l'initiative, tout comme son canton."
2258,56.3,56.3,43.7,"Fräschels (FR)","Les habitants de Fräschels acceptent l'initiative pour le versement d'une 13e rente AVS avec 56,3 pour cent de oui. Fräschels a approuvé l'initiative, tout comme son canton."
